puuid|accountId|summonerId|region|tier|summonerName|leaguePoints|rank|wins|losses|veteran|inactive|freshBlood|hotStreak|profileIconId|revisionDate|summonerLevel
iyLWN1RL3gycT_VIhuIKKhsbgPIcV4co_kUDQ9Mb4XRHNt4eeX-hM3C5jx2ZOobXp0RO3Fy5rrV35Q|52buvVujqGMqS-MpDNj-CGlWgzYPErdLZIBqmjPuKSZLiC0|wPZVVNVd5vs8XQx0ZHA4jWwo8sp-R3ZIdofqgb4WRFY8BhQ|kr|master|피들 권위자|66|I|78|61|False|False|False|False|4637|1595685704000|117
wjD_5VmN6NgZrjScNuVBcwPKlikr2nOw3txNxUCZ5ji1SQcNwkrvULZ_bPzbO93_M7bnaENipV0mWw|-vvQ0St5lL8mARDBIQ9YCb_PnqcQuPaAK6aB9A-Ee0YWfHG0FTj7kV85|FoBt1MV-ty2GnVJvydVRkrrFAzyUDDSH0f61Z9bciknXll0|kr|master|bu yao fan qie|252|I|130|95|False|False|False|False|4515|1596120363000|49
BQ_35Ymd_wr5cf5j9Q2P0J4eeoQiyqLo5oo7bma5YpC5Vu5qGiqk3cC_ws1y4WjRuYjTC5x-bciwXg|3XQ6B7YB4PTacWWnmBC0-wCGZc5lARYylI3QErDcL7pAzmarg9QMujzL|EQndjcAIAVsPpJZ5NwWvNq_-EhHte4_Px86z1j5EVs3OV6g|kr|master|Crush  03 10 23|48|I|645|604|False|False|False|True|1597|1595992917000|196
k3hb-50Scs5aJfiWOT_kZOY4jrYjM4m4kDYUJREpr2KhImxsUhGJSZNYZp4FZpnXfXlnRU_6wjoJ9Q|xzjr7G1fDKD3xvZlXQ6puFg0hA8u1NRBUbXBWl1EGjdgHnRJLs05JWmJ|oWx654Xa88en9ahWZx9rdAzWdL0a8NHfsj61Np93m2SbJLo|kr|master|shotgunOvO|124|I|272|190|False|False|True|False|4575|1596094635000|61
fED_UKMHLUp91VhKU-plL1dsFBpmaHA2zmkVzv-JBI6Vm55WZUEFJwLSbaQQAAe-wRiVS577xHp1hw|nIXX6cV8Y0B1yTrUYcTZBugUG2NKvjiXxM-eRRgyK0CJ|LmDr6Fk17YfJr1suIBMYGFaQirGn7TFlwbkYSPs5Dul8Ew|kr|master|승미니는곧휴가철|44|I|188|166|False|False|True|False|4655|1596022681000|142
H_MQPlELbDcPy3yb7M7RXdAXP49kxjCzoqcp9jWthqQwTnepWyNFgd1tHewn6jDAHHNYYRRkYX5cyg|9Mxx9gD3wLTX42ICASBzHxMj5UEcqN_WT1FeYW8Fhw1NCSMsbZB5ChWF|kJ2Vc2Rwwv4Y2EcSymgKSvO_FiqqBK1lU_UNE2CwuBGVBpA|kr|master|Lucky game1|36|I|124|56|False|False|True|False|4449|1596017597000|44
7Wo9yZgSwn2GkIjgm5Z4mZSyEnZ1CnxlIHhU1w0lsVj3OndZYnWayCXzoRfIWbTcj95d3iTV56CyKg|ESS4x6pvdZujrIxuNBNdg1Xu6mkEtQab6gjDhUjr6aStQW0|PKMB_wsT7u2IzD8e4odqmrHR-yEHAAErTMpUTo1_UYPLYSA|kr|master|성숙하지않은인간|62|I|722|713|False|False|True|False|4658|1595958532000|596
cq4M_99tUm2tmOlmp3XWodD-boAP1SegRpYQ6XCN0onBg6Hf5SkDSluE_CqNEjJJ8GK6PIvku0zm9w|lJy5O7uKtCVwxpk5-jXy_Ta5-u4vRB0AYFD5qoDuGf6eJUI|LGGmMCmKiU-1znilinGEjNY_zAE2Ne-Yc3KmXg7QVRbrS1o|kr|master|절대쓰러지지않는|138|I|234|207|False|False|False|False|3587|1595920040000|111
7m9IeycUZ3pUEyP-oRzDS54x1oEhRmg17HnFY_R6E3MaJCfecFvhZHI8BG2N7xocBrGhRioPDImNzw|anYF6Jtnx6jhmnOhjrFsKI6IorucbcdBvhGMp7PYJEv8|MZ4EhrIsac_WhqLJZ0bDzJdm0e0K4bmCaELxty-V_fUFlw|kr|master|CitrusReticulata|0|I|196|74|False|False|True|True|4022|1596014142000|172
xZQYxz5JaJ0X2KynicGYW0JYTcgIx7EH0dB_coZ0HUpSYFp8sboAyCGSih17DqG4BHTZRGtpBJUnOg|v-95Pr2qytjuPa6N_wSJHMBIQAPoh6tFBfZO43p5FnK2WkAHK14xPyHy|25csZfVdc3N_fit1m2DnvxRJQaHsBEvEpvV4-R_hHS-Sk2E|kr|master|소원권|14|I|699|677|False|False|True|False|4574|1595735807000|171
puW6wKKIGTDqHx9lmn_UeoOX_LkoS_WILVhF2WdOWGZa8FiBjIQ0N_ODVtr8El-vEA-CqDdDrj7kaA|YjIw2RLVJC51Xl3iHRFZNoZGuIXIbB7cLfYE7eCeFe-KGK8|_5F6q_tRm6eR_JAU9QOL1rmlA4tQkSDmdn3mdiEDkWnoYLQ|kr|master|연송고존잘남|49|I|300|274|True|False|False|False|4570|1596064890000|221
BOuS3uj1xRXse48-1_aNGclEemUrEMuEh9shdYvfF7Nu6QZ0F7fAY654xWeOuXUu12G2QOdE6IGw9w|w0BuLcdbxNEQJt5g5DW--MqUJEK7uqMnMuExT5_9bAgd|GTnlPNSn9c7f0E5E6GcMDVRXnY1EHzzAiRmEFe9UyPOehQ|kr|master|Phenom|1|I|309|286|False|False|True|False|23|1595999453000|137
Nij3ztE1x7Qmjlz4UsQ-guzjrkCOanq4RArwXG3W172z6ol86XT8BTTUL2e2Ee7qV8GVZ0WgWV7C3g|NKResXsRhwm94L6ML2ry2SvhwGKYGuBUvIOKK5dMG1g0|BWj_vQFECAnRqoKqf7LK-PCcRW91lrRDAtIu-BeF5Nzndw|kr|master|나는탑만가|74|I|98|71|False|False|False|False|4025|1595914632000|251
LHUYq8Qm-iOTFwyyU9SGSpGXntAtDSni5b_sLg1Iz1sM63QQ43XX995OcDpDSTWSs_FpAjt3Ssr0nA|lJK1K7o9LW5z7hxiIgLC2uKSp2xvQUjLUmtBjchZliDq|NiNHUZ9eUXcctnxOc6bYSEXFRD_z1IxZYmBu4XqA65JGlg|kr|master|입열면진다고생각|12|I|184|162|False|False|True|False|962|1595986619000|164
FJjinnUl16jFm392DU9ZKfJ8Vhr3HCIpGmKnm2EhR8v1fo4f5DjazqXxOA-nPjxEyOTMfo4cwjA8hQ|FChb9gihVm4KA2gtN1gwQxC4vV0ig8Rj0n3bbvPUyEljC5U|NNKy7MkJJjwJTzWYW6aCQpRpu90VF5BYmBGrxwpUeOAMikg|kr|master|그래도요|171|I|168|143|False|False|False|True|4572|1596076228000|216
sICfElU-ffVlOEGk2smSLETSY7TQCvTW3qWV57DJsIVY61-WiYmK5LJ6xcUB6PF8-uOzl8YLBtJXow|ICluBwzQ-mutu6IdUxDNSxLF811FwupZFsZfv2R6Q4laqXKNzoArZ82p|9OWPaWXMslOP4XeNf_WNU6qfYX0pohDsVX6zLbSTUm8j6ZM|kr|master|sorsorry|142|I|672|654|False|False|True|False|4658|1596087897000|110
7l-J3Vzafjzlim82R97eDgF-JGikKGxLZVAQkn6Rnc4InJ6SJNUzDxUvT85PgaaGktaptS0Ogg7m1Q|8sf5xw53X0fUeMigJf4l-bTjPH1UfqHbreuo3Xb6EfC2|HBg8AAa20x5uL9lus8kSCpkb1djg-BEveDIa-gOvP97vng|kr|master|섹시우기|171|I|151|115|False|False|True|False|4655|1596132306000|485
